"album_id","album_name","original_artist","action","distinct_artists","total_tracks","top1_artist","top1_tracks","top2_artist","top2_tracks","top3_artist","top3_tracks","notes"
1711,"Guardians of the Galaxy: Awesome Mix, Vol. 1: Original Motion Picture Soundtrack","Redbone","KEEP_AS_VA",6,6,"Norman Greenbaum",1,"Redbone",1,"David Bowie",1,"no clusters, comp-shape/name"
8696,"Judgement Night","Teenage Fanclub & De La Soul","KEEP_AS_VA",6,6,"Teenage Fanclub & De La Soul",1,"Helmet & House Of Pain",1,"Judgement Night",1,"no clusters, comp-shape/name"
10122,"SaG's Indie Electro Rock Playlist May 2010","Crystal Castles","KEEP_AS_VA",6,6,"The Thermals",1,"Crystal Castles",1,"Ted Leo and the Pharmacists",1,"no clusters, comp-shape/name"
2773,"The Essential Benny Goodman","Benny Goodman","SPLIT_PER_ARTIST",5,34,"Benny Goodman",27,"Benny Goodman Sextet",3,"Benny Goodman Quartet",2,"2 clusters, name collision"
864,"The Rolling Stones play Chuck Berry","The Rolling Stones","SPLIT_PER_ARTIST",5,33,"The Rolling Stones",22,"The Beatles",7,"John Lennon",2,"2 clusters, name collision"
1774,"California","blink‐182","SPLIT_PER_ARTIST",5,32,"blink‐182",15,"blink-182",14,"The Lagoons",1,"2 clusters, name collision"
658,"An Evening with Silk Sonic","Silk Sonic","SPLIT_PER_ARTIST",5,28,"Bruno Mars",10,"Silk Sonic",8,"Bruno Mars, Anderson .Paak & Silk Sonic",8,"3 clusters, name collision"
377,"Let Go","Nada Surf","COLLAPSE_TO_PRIMARY",5,18,"Nada Surf",14,"Avril Lavigne",1,"The Island Club",1,"single cluster (Nada Surf: 14)"
904,"A Christmas Gift for You From Phil Spector","Darlene Love","SPLIT_PER_ARTIST",5,15,"Darlene Love",4,"The Crystals",4,"The Ronettes",3,"3 clusters, name collision"
9421,"Christmas Jazz","Jack Jezzro","SPLIT_PER_ARTIST",5,15,"Jack Jezzro",4,"Beegie Adair",4,"Denis Solee",3,"3 clusters, name collision"
